ods,providerId,name,wIMD15,place_name,postcode,country,search_name
RXPCP,RXP,University Hospital North Durham,23.94938359,University Hospital Of North Durham,DH1 5TW,England,"University Hospital Of North Durham, DH1 5TW"
RVWAE,RVW,University Hospital of North Tees,26.54376712,University Hospital Of North Tees,TS19 8PE,England,"University Hospital Of North Tees, TS19 8PE"
RWWWH,RWW,Warrington Hospital,25.81459269,Warrington Hospital,WA5 1QG,England,"Warrington Hospital, WA5 1QG"
RJC02,RJC,Warwick Hospital,18.42168181,Warwick Hospital,CV34 5BW,England,"Warwick Hospital, CV34 5BW"
RWG02,RWG,Watford General Hospital,16.69374567,Watford General Hospital,WD18 0HB,England,"Watford General Hospital, WD18 0HB"
RGR50,RGR,West Suffolk Hospital,17.07951952,West Suffolk Hospital,IP33 2QZ,England,"West Suffolk Hospital, IP33 2QZ"
RTXBW,RTX,Westmorland General Hospital,21.30684468,Westmorland General Hospital,LA9 7RG,England,"Westmorland General Hospital, LA9 7RG"
RA7C2,RA7,Weston General Hospital,18.43949181,Weston General Hospital,BS23 4TQ,NA,
RDU50,RDU,Wexham Park Hospital,15.64859885,Wexham Park Hospital,SL2 4HL,England,"Wexham Park Hospital, SL2 4HL"
RBN01,RBN,Whiston Hospital,26.48713247,Whiston Hospital,L35 5DR,England,"Whiston Hospital, L35 5DR"
RWW02,RWW,Whiston Hospital,24.77283374,Whiston Hospital,L35 5DR,NA,NA
RVV01,RVV,William Harvey Hospital,20.0538634,William Harvey Hospital (Ashford),TN24 0LZ,England,"William Harvey Hospital (Ashford), TN24 0LZ"
RWP50,RWP,Worcestershire Royal Hospital,20.49980553,Worcestershire Royal Hospital,WR5 1DD,England,"Worcestershire Royal Hospital, WR5 1DD"
RYR18,RYR,Worthing Hospital,17.60797615,Worthing Hospital,BN11 2DH,England,"Worthing Hospital, BN11 2DH"
RXQ50,RXQ,Wycombe Hospital,15.92163082,Wycombe Hospital,HP11 2TT,England,"Wycombe Hospital, HP11 2TT"
R0A07,R0A,Wythenshawe Hospital,24.43053572,Wythenshawe Hospital,M23 9LT,England,"Wythenshawe Hospital, M23 9LT"
RA430,RA4,Yeovil District Hospital,17.20789586,Yeovil District Hospital,BA21 4AT,England,"Yeovil District Hospital, BA21 4AT"
RX40P,RNN,Yewdale Unit,22.94454837,Yewdale Ward,CA28 8JG,England,NA
RCB55,RCB,York Teaching Hospital,21.52355496,The York Hospital,YO31 8HE,England,"The York Hospital, YO31 8HE"
14142,,University College London Hospitals NHSFT,20.20301,University College London Hospitals NHSFT,NW1 2BU,England,
R0A09,,Trafford General Hospital,28.45469349,Trafford General Hospital,M41 5SL,England,
RAX01,,Kingston Hospital,11.51375992,Kingston Hospital,KT2 7QB,England,
RC971,,Luton And Dunstable Hospital,21.01245604,Luton And Dunstable Hospital,LU4 0DZ,England,
RCBCA,,Scarborough Hospital,17.66507727,Scarborough Hospital,YO12 6QL,England,
REP01,,Liverpool Women's Nhs Foundation Trust,41.03738725,Liverpool Women's Nhs Foundation Trust,L8 7SS,England,
RJ827,,Cornwall Partnership NHSFT,24.99282526,Cornwall Partnership NHSFT,PL31 2QN,England,
RJE09,,County Hospital,24.3202654,County Hospital,ST16 3SA,England,
RMY01,,Wellbeing Norfolk & Waveney,25.04470645,Wellbeing Norfolk & Waveney,NR6 5BE,England,
RN070,,Dartford and Gravesham NHS Trust,18.82733515,Dartford and Gravesham NHS Trust,DA2 8DA,England,
RN707,,Darent Valley Hospital,18.82733515,Darent Valley Hospital,DA2 8DA,England,
RNN62,,North Cumbria Integrated Care NHSFT,24.37352404,North Cumbria Integrated Care NHSFT,CA11 7QE,England,
RR801,,Leeds General Infirmary,27.48318978,Leeds General Infirmary,LS1 3EX,England,
RT113,,Fulbourn Hospital,19.90088883,Fulbourn Hospital,CB21 5EF,England,
RT301,,Harefield Hospital,16.65048369,Harefield Hospital,UB9 6JH,England,
RTFED,,Wansbeck General Hospital,22.15151892,Wansbeck General Hospital,NE63 9JJ,England,
RTFFS,,North Tyneside General Hospital,22.15151892,North Tyneside General Hospital,NE29 8NH,England,
RTQ01,,Charlton Lane Hospital,22.28971417,Charlton Lane Hospital,GL53 9DZ,England,
RTV33,,North West Boroughs Healthcare NHSFT,35.46378015,North West Boroughs Healthcare NHSFT,WA2 8WA,England,
RVT33,,North West Boroughs Healthcare NHSFT,35.46378,North West Boroughs Healthcare NHSFT,WA2 8WA,England,
RW404,,Ashworth Hospital,46.18866635,Ashworth Hospital,L31 1HW,England,
RWA01,,Hull Royal Infirmary,28.5357449,Hull Royal Infirmary,HU3 2JZ,England,
RX4E4,,St Nicholas Hospital,33.04674453,St Nicholas Hospital,NE3 3XT,England,
RYW23,,Moseley Hall Hospital,34.35615653,Moseley Hall Hospital,B13 8JL,England,
TAHFC,,Michael Carlisle Centre,25.04419468,Michael Carlisle Centre,S11 9BF,England,
TAHXP,,Grenoside Grange,25.04419468,Grenoside Grange,S35 8QS,England,
