redcap_data_access_group_e,redcap_data_access_group_unlabelled,dag_id_e,place_name,postcode,country,lon,lat,ccg,tds_mean,postcode_start,city,imd_average_postcodes_new,all_people,ccg_name,updated_all_age_mid_2018,multiplication_factor,scotland_average_imd_rank,average_imd_rank,wales_average_imd_rank,wimd15
NHS Lothian,nhs_lothian,S341H,NHS Lothian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NHS Lothian,nhs_lothian,SL116,Western General Hospital,EH4 2XU,Scotland,-3.2338808,55.9621052,S08000024,0.2606861477440891,EH4,Edinburgh,4524.216276124129,897770,Lothian,897770,1.0760112662551686,11,11,NA,NA
Mid and South Essex University Hospitals Group,mid_and_south_esseb,TAJ01,Mid and South Essex University Hospitals Group,SS1 1ND,England,0.7115468,51.5377565,E38000168,0.6785578474584543,SS1,Southend-on-Sea,14682.917420235455,182463,NHS Southend CCG,182463,1.050703106105103,NA,92,NA,19.70386927
University Hospitals of Leicester,university_hospitak,TWEAA,Leicester Royal Infirmary,LE1 5WW,England,-1.1348028,52.6278166,E38000097,3.754855743517658,LE1,Leicester,9319.274472372468,355218,NHS Leicester City CCG,355218,1.0769435997562447,NA,18,NA,21.10790778
Bronglais General Hospital,bronglais_general,WB2AJ,Bronglais General Hospital,SY23 1ER,Wales,-4.0711821,52.4164121,W11000025,-1.364551584439131,SY23,Ceredigion,966.9665478790665,385615,Hywel Dda University Health Board,385615,1.009098807237176,NA,3,3,NA
Prince Philip Hospital,prince_philip_hosp,WB3AL,Prince Philip Hospital,SA14 8QF,Wales,-4.134687,51.6922205,W11000025,-1.364551584439131,SA14,Carmarthenshire,966.9665478790665,385615,Hywel Dda University Health Board,385615,1.009098807237176,NA,3,3,NA
Withybush General Hospital,withybush_general,WF1BL,Withybush General Hospital,SA61 2PZ,Wales,-4.9664014,51.8130048,W11000025,-1.364551584439131,SA61,Pembrokeshire,966.9665478790665,385615,Hywel Dda University Health Board,385615,1.009098807237176,NA,3,3,NA
Glan Clwyd Hospital,glan_clwyd_hospita,7A1A1,Ysbyty Glan Clwyd,LL18 5UJ,Wales,-3.4971896,53.2726551,W11000023,-0.6466191216551161,LL18,Conwy,1012.1948634325316,698369,Betsi Cadwaladr University Health Board,698369,1.0151641792780444,NA,2,2,NA
Wrexham Maelor Hospital,wrexham_maelor_hos,7A1A4,Wrexham Maelor Hospital,LL13 7TD,Wales,-3.0101803,53.0461734,W11000023,-0.6466191216551161,LL13,Wrexham,1012.1948634325316,698369,Betsi Cadwaladr University Health Board,698369,1.0151641792780444,NA,2,2,NA
Betsi Cadwaladr University Health Board,betsi_cadwaladr_un,7A1AU,Ysbyty Gwynedd,LL57 2PW,Wales,-4.1577568,53.2086374,W11000023,-0.6466191216551161,LL57,Gwynedd,1012.1948634325316,698369,Betsi Cadwaladr University Health Board,698369,1.0151641792780444,NA,2,2,NA
Glanwili General Hospital,glanwili_general_h,7A2AA,Glangwili Hospital Child Health Section,SA31 2AF,Wales,-4.2833874,51.8673069,W11000025,-1.364551584439131,SA31,Carmarthenshire,966.9665478790665,385615,Hywel Dda University Health Board,385615,1.009098807237176,NA,3,3,NA
"Morriston Hospital, Swansea",morriston_hospital,7A3YA,Abertawe Bro Morgannwg University Lhb Bridgend Locality Office,CF31 3TP,Wales,-3.5506886,51.5024646,W11000030,-0.1734192073994886,CF31,Bridgend,816.2126795517786,445190,Cwm Taf Morgannwg University Health Board,445190,1.5183212146842557,NA,7,7,NA
University Hospital of Wales,university_hospitad,7A4BV,University Hospital Of Wales,CF14 4XW,Wales,-3.1889835,51.5062635,W11000029,0.2852880774520998,CF14,Cardiff,1040.481217191601,496413,Cardiff and Vale University Health Board,496413,1.0507740894870308,NA,4,4,NA
Cardiff and Vale University Health Board,cardiff_and_vale_u,7A4H1,Noahs Ark Childrens Hospital For Wales,CF14 4XW,Wales,-3.1889835,51.5062635,W11000029,0.2852880774520998,CF14,Cardiff,1040.481217191601,496413,Cardiff and Vale University Health Board,496413,1.0507740894870308,NA,4,4,NA
Cwm Taf Morgannwg University Health Board,cwm_taf_morgannwg,7A5B1,The Royal Glamorgan Hospital,CF72 8XR,Wales,-3.3905151,51.5479884,W11000030,-0.1734192073994886,CF72,Rhondda Cynon Taf,816.2126795517786,445190,Cwm Taf Morgannwg University Health Board,445190,1.5183212146842557,NA,7,7,NA
Cwm Taf Morgannwg University Health Board,cwm_taf_morgannwg,7A5B3,Prince Charles Hospital Site,CF47 9DT,Wales,-3.3861006,51.7643331,W11000030,-0.1734192073994886,CF47,Merthyr Tydfil,816.2126795517786,445190,Cwm Taf Morgannwg University Health Board,445190,1.5183212146842557,NA,7,7,NA
NHS Ayrshire and Arran,nhs_ayrshire_and_a,A111H,University Hospital Crosshouse,KA2 0BE,Scotland,-4.5401309,55.6135442,S08000015,-0.025508140941622744,KA2,East Ayrshire,2643.6560590094837,369670,Ayrshire and Arran,369670,0.9891841846127499,1,1,NA,NA
NHS Ayrshire and Arran,nhs_ayrshire_and_a,A210H,University Hospital Ayr,KA6 6DX,Scotland,-4.5939607,55.428935,S08000015,-0.5392163323203861,KA6,East Ayrshire,3124.622586439156,369670,Ayrshire and Arran,369670,0.9891841846127499,1,1,NA,NA
Borders General Hospital,borders_general_ho,B120H,Borders General Hospital,TD6 9BS,Scotland,-2.7419408,55.5954785,S08000016,-1.3371986376510818,TD6,Scottish Borders,3814.8522024729523,115270,Borders,115270,1.0122947220514622,10,10,NA,NA
Golden Jubilee National Hospital,golden_jubilee_nat,D102H,Golden Jubilee National Hospital,G81 4DY,Scotland,-4.4203539,55.9059298,S08000031,1.202392276795618,G81,West Dunbartonshire,2177.8489208633096,1174980,Greater Glasgow and Clyde,1174980,0.9683305203196286,2,2,NA,NA
Victoria Hospital Kirkcaldy,victoria_hospital,F701H,Cameron Hospital,KY8 5RR,Scotland,-3.0606955,56.1866783,S08000029,0.17353695425601268,KY8,Fife,2600.282911392405,371910,Fife,371910,1.0183790710792502,6,6,NA,NA
Victoria Hospital Kirkcaldy,victoria_hospital,F704H,Victoria Hospital,KY2 5AH,Scotland,-3.1601871,56.1244623,S08000029,0.17353695425601268,KY2,Fife,2600.282911392405,371910,Fife,371910,1.0183790710792502,6,6,NA,NA
Victoria Hospital Kirkcaldy,victoria_hospital,F708H,Adamson Hospital,KY15 4JG,Scotland,-3.0181746,56.3244035,S08000029,-1.0932333169974748,KY15,Fife,4120.599957912458,371910,Fife,371910,1.0183790710792502,6,6,NA,NA
Victoria Hospital Kirkcaldy,victoria_hospital,F716H,Glenrothes Hospital,KY7 5TG,Scotland,-3.182677,56.2049141,S08000029,-1.0932333169974748,KY7,Fife,4120.599957912458,371910,Fife,371910,1.0183790710792502,6,6,NA,NA
"Queen Elizabeth University Hospital, Glasgow University Hospital Monklands Airdrie",queen_elizabeth_un,G405H,Queen Elizabeth University Hospital,G51 4TF,Scotland,-4.3392518,55.8626363,S08000031,3.019275767976359,G51,Glasgow,2318.6194634568483,1174980,Greater Glasgow and Clyde,1174980,0.9683305203196286,2,2,NA,NA
Lanarkshire NHSFT,lanarkshire_nhsft,L106H,University Hospital Monklands,ML6 0JS,Scotland,-3.9998893,55.8657665,S08000032,0.6456173645753805,ML6,North Lanarkshire,2537.5623200329082,659200,Lanarkshire,659200,1.1471589890661409,3,3,NA,NA
Lanarkshire NHSFT,lanarkshire_nhsft,L302H,University Hospital Hairmyres,G75 8RG,Scotland,-4.221977,55.7594711,S08000032,-0.5648442316815383,G75,South Lanarkshire,3234.817940702851,659200,Lanarkshire,659200,1.1471589890661409,3,3,NA,NA
Lanarkshire NHSFT,lanarkshire_nhsft,L308H,University Hospital Wishaw,ML2 0DP,Scotland,-3.9420159,55.7736351,S08000032,0.6456173645753805,ML2,North Lanarkshire,2537.5623200329082,659200,Lanarkshire,659200,1.1471589890661409,3,3,NA,NA
Aberdeen Royal Infirmary,aberdeen_royal_inf,N101H,Aberdeen Royal Infirmary,AB25 2ZN,Scotland,-2.1372687,57.1546973,S08000020,-0.34231016921157476,AB25,Aberdeen,4395.31208499336,584550,Grampian,584550,1.0272185231460247,14,14,NA,NA
NHS Lothian,nhs_lothian,S116H,Western General Hospital,EH4 2XU,Scotland,-3.2338808,55.9621052,S08000024,0.2606861477440891,EH4,Edinburgh,4524.216276124129,897770,Lothian,897770,1.0760112662551686,11,11,NA,NA
NHS Lothian,nhs_lothian,S308H,St John's Hospital,EH54 6PP,Scotland,-3.5235687,55.8914559,S08000024,-0.3838932582336999,EH54,West Lothian,3405.3798114689707,897770,Lothian,897770,1.0760112662551686,11,11,NA,NA
NHS Lothian,nhs_lothian,S314H,Royal Infirmary Of Edinburgh At Little France,EH16 4SA,Scotland,-3.1347719,55.9218084,S08000024,0.2606861477440891,EH16,Edinburgh,4524.216276124129,897770,Lothian,897770,1.0760112662551686,11,11,NA,NA
Ninewells Hospital,ninewells_hospital,T101H,Ninewells Hospital,DD1 9SY,Scotland,-2.9913622,56.461653,S08000030,1.9244357404030463,DD1,Dundee,2726.8699639698657,416080.00000000006,Tayside,416080,1.0155500611409563,9,9,NA,NA
Manchester University Hospital,manchester_univers,R0A02,Manchester Royal Infirmary,M13 9WL,England,-2.22489070892334,53.461673736572266,E38000217,3.3886492428788495,M13,Manchester,6931.867791364734,547627,NHS Manchester CCG,547627,1.088446853378968,NA,3,NA,24.43053572
